id,year,make,model,vehicleClass,fuelType,isElectric,isHybrid,combinedMPG,co2EmissionsGramPerMile,batteryCapacity,efficiencyMilesPerKWh,source
EEA-2024-Honda-eHR-V,2024,Honda,e:HR-V,Lower medium,Electricity,true,false,78,0,51,4.0,EEA
EEA-2024-Toyota-bZ4X,2024,Toyota,bZ4X,Lower medium,Electricity,true,false,115,0,71,3.5,EEA
EEA-2024-Mitsubishi-Outlander,2024,Mitsubishi,Outlander,Small SUV,Hybrid,false,true,38,190,16,0,EEA
EEA-2024-Nissan-Qashqai,2024,Nissan,Qashqai,Small SUV,Hybrid,false,true,40,175,12,0,EEA
EEA-2024-Peugeot-2008,2024,Peugeot,2008,Small SUV,Electricity,true,false,80,0,50,4.0,EEA
EEA-2024-Opel-Mokka,2024,Opel,Mokka,Small SUV,Electricity,true,false,75,0,45,4.2,EEA
EEA-2024-Citroen-C4,2024,Citroen,C4,Lower medium,Electricity,true,false,85,0,50,4.1,EEA
EEA-2024-DS-7,2024,DS,7,Lower medium,Electricity,true,false,95,0,58,3.8,EEA
EEA-2024-Lancia-Ypsilon,2024,Lancia,Ypsilon,Supermini,Hybrid,false,true,55,135,6,0,EEA
EEA-2024-Alfa-Romeo-Tonale,2024,Alfa Romeo,Tonale,Lower medium,Hybrid,false,true,48,155,11,0,EEA
EEA-2024-Jeep-Avenger,2024,Jeep,Avenger,Small SUV,Electricity,true,false,70,0,52,4.0,EEA
EEA-2024-Fiat-600e,2024,Fiat,600e,Mini,Electricity,true,false,42,0,37,3.9,EEA
EEA-2024-Abarth-500e,2024,Abarth,500e,Mini,Electricity,true,false,42,0,24,3.8,EEA
EEA-2024-Maserati-Grecale,2024,Maserati,Grecale,Upper medium,Electricity,true,false,105,0,98,3.0,EEA
EEA-2024-Lotus-Eletre,2024,Lotus,Eletre,Small SUV,Electricity,true,false,102,0,92,3.4,EEA
